0.0000	0.0000
0.0100	0.0000
0.0200	0.0000
0.0300	0.0000
0.0400	0.0000
0.0500	0.0000
0.0600	0.0000
0.0700	0.0000
0.0800	0.0000
0.0900	0.0000
0.1000	0.0000
0.1100	0.0000
0.1200	0.0000
0.1300	0.0000
0.1400	0.0000
0.1500	0.0000
0.1600	0.0000
0.1700	0.0000
0.1800	0.0000
0.1900	0.0000
0.2000	0.0000
0.2100	0.0000
0.2200	0.0000
0.2300	0.0000
0.2400	0.0000
0.0000	0.0100
0.0100	0.0100
0.0200	0.0100
0.0300	0.0100
0.0400	0.0100
0.0500	0.0100
0.0600	0.0100
0.0700	0.0100
0.0800	0.0100
0.0900	0.0100
0.1000	0.0100
0.1100	0.0100
0.1200	0.0100
0.1300	0.0100
0.1400	0.0100
0.1500	0.0100
0.1600	0.0100
0.1700	0.0100
0.1800	0.0100
0.1900	0.0100
0.2000	0.0100
0.2100	0.0100
0.2200	0.0100
0.2300	0.0100
0.2400	0.0100
0.0000	0.0200
0.0100	0.0200
0.0200	0.0200
0.0300	0.0200
0.0400	0.0200
0.0500	0.0200
0.0600	0.0200
0.0700	0.0200
0.0800	0.0200
0.0900	0.0200
0.1000	0.0200
0.1100	0.0200
0.1200	0.0200
0.1300	0.0200
0.1400	0.0200
0.1500	0.0200
0.1600	0.0200
0.1700	0.0200
0.1800	0.0200
0.1900	0.0200
0.2000	0.0200
0.2100	0.0200
0.2200	0.0200
0.2300	0.0200
0.2400	0.0200
0.0000	0.0300
0.0100	0.0300
0.0200	0.0300
0.0300	0.0300
0.0400	0.0300
0.0500	0.0300
0.0600	0.0300
0.0700	0.0300
0.0800	0.0300
0.0900	0.0300
0.1000	0.0300
0.1100	0.0300
0.1200	0.0300
0.1300	0.0300
0.1400	0.0300
0.1500	0.0300
0.1600	0.0300
0.1700	0.0300
0.1800	0.0300
0.1900	0.0300
0.2000	0.0300
0.2100	0.0300
0.2200	0.0300
0.2300	0.0300
0.2400	0.0300
0.0000	0.0400
0.0100	0.0400
0.0200	0.0400
0.0300	0.0400
0.0400	0.0400
0.0500	0.0400
0.0600	0.0400
0.0700	0.0400
0.0800	0.0400
0.0900	0.0400
0.1000	0.0400
0.1100	0.0400
0.1200	0.0400
0.1300	0.0400
0.1400	0.0400
0.1500	0.0400
0.1600	0.0400
0.1700	0.0400
0.1800	0.0400
0.1900	0.0400
0.2000	0.0400
0.2100	0.0400
0.2200	0.0400
0.2300	0.0400
0.2400	0.0400
0.0000	0.0500
0.0100	0.0500
0.0200	0.0500
0.0300	0.0500
0.0400	0.0500
0.0500	0.0500
0.0600	0.0500
0.0700	0.0500
0.0800	0.0500
0.0900	0.0500
0.1000	0.0500
0.1100	0.0500
0.1200	0.0500
0.1300	0.0500
0.1400	0.0500
0.1500	0.0500
0.1600	0.0500
0.1700	0.0500
0.1800	0.0500
0.1900	0.0500
0.2000	0.0500
0.2100	0.0500
0.2200	0.0500
0.2300	0.0500
0.2400	0.0500
0.0000	0.0600
0.0100	0.0600
0.0200	0.0600
0.0300	0.0600
0.0400	0.0600
0.0500	0.0600
0.0600	0.0600
0.0700	0.0600
0.0800	0.0600
0.0900	0.0600
0.1000	0.0600
0.1100	0.0600
0.1200	0.0600
0.1300	0.0600
0.1400	0.0600
0.1500	0.0600
0.1600	0.0600
0.1700	0.0600
0.1800	0.0600
0.1900	0.0600
0.2000	0.0600
0.2100	0.0600
0.2200	0.0600
0.2300	0.0600
0.2400	0.0600
0.0000	0.0700
0.0100	0.0700
0.0200	0.0700
0.0300	0.0700
0.0400	0.0700
0.0500	0.0700
0.0600	0.0700
0.0700	0.0700
0.0800	0.0700
0.0900	0.0700
0.1000	0.0700
0.1100	0.0700
0.1200	0.0700
0.1300	0.0700
0.1400	0.0700
0.1500	0.0700
0.1600	0.0700
0.1700	0.0700
0.1800	0.0700
0.1900	0.0700
0.2000	0.0700
0.2100	0.0700
0.2200	0.0700
0.2300	0.0700
0.2400	0.0700
0.0000	0.0800
0.0100	0.0800
0.0200	0.0800
0.0300	0.0800
0.0400	0.0800
0.0500	0.0800
0.0600	0.0800
0.0700	0.0800
0.0800	0.0800
0.0900	0.0800
0.1000	0.0800
0.1100	0.0800
0.1200	0.0800
0.1300	0.0800
0.1400	0.0800
0.1500	0.0800
0.1600	0.0800
0.1700	0.0800
0.1800	0.0800
0.1900	0.0800
0.2000	0.0800
0.2100	0.0800
0.2200	0.0800
0.2300	0.0800
0.2400	0.0800
0.0000	0.0900
0.0100	0.0900
0.0200	0.0900
0.0300	0.0900
0.0400	0.0900
0.0500	0.0900
0.0600	0.0900
0.0700	0.0900
0.0800	0.0900
0.0900	0.0900
0.1000	0.0900
0.1100	0.0900
0.1200	0.0900
0.1300	0.0900
0.1400	0.0900
0.1500	0.0900
0.1600	0.0900
0.1700	0.0900
0.1800	0.0900
0.1900	0.0900
0.2000	0.0900
0.2100	0.0900
0.2200	0.0900
0.2300	0.0900
0.2400	0.0900
0.0000	0.1000
0.0100	0.1000
0.0200	0.1000
0.0300	0.1000
0.0400	0.1000
0.0500	0.1000
0.0600	0.1000
0.0700	0.1000
0.0800	0.1000
0.0900	0.1000
0.1000	0.1000
0.1100	0.1000
0.1200	0.1000
0.1300	0.1000
0.1400	0.1000
0.1500	0.1000
0.1600	0.1000
0.1700	0.1000
0.1800	0.1000
0.1900	0.1000
0.2000	0.1000
0.2100	0.1000
0.2200	0.1000
0.2300	0.1000
0.2400	0.1000
0.0000	0.1100
0.0100	0.1100
0.0200	0.1100
0.0300	0.1100
0.0400	0.1100
0.0500	0.1100
0.0600	0.1100
0.0700	0.1100
0.0800	0.1100
0.0900	0.1100
0.1000	0.1100
0.1100	0.1100
0.1200	0.1100
0.1300	0.1100
0.1400	0.1100
0.1500	0.1100
0.1600	0.1100
0.1700	0.1100
0.1800	0.1100
0.1900	0.1100
0.2000	0.1100
0.2100	0.1100
0.2200	0.1100
0.2300	0.1100
0.2400	0.1100
0.0000	0.1200
0.0100	0.1200
0.0200	0.1200
0.0300	0.1200
0.0400	0.1200
0.0500	0.1200
0.0600	0.1200
0.0700	0.1200
0.0800	0.1200
0.0900	0.1200
0.1000	0.1200
0.1100	0.1200
0.1200	0.1200
0.1300	0.1200
0.1400	0.1200
0.1500	0.1200
0.1600	0.1200
0.1700	0.1200
0.1800	0.1200
0.1900	0.1200
0.2000	0.1200
0.2100	0.1200
0.2200	0.1200
0.2300	0.1200
0.2400	0.1200
0.0000	0.1300
0.0100	0.1300
0.0200	0.1300
0.0300	0.1300
0.0400	0.1300
0.0500	0.1300
0.0600	0.1300
0.0700	0.1300
0.0800	0.1300
0.0900	0.1300
0.1000	0.1300
0.1100	0.1300
0.1200	0.1300
0.1300	0.1300
0.1400	0.1300
0.1500	0.1300
0.1600	0.1300
0.1700	0.1300
0.1800	0.1300
0.1900	0.1300
0.2000	0.1300
0.2100	0.1300
0.2200	0.1300
0.2300	0.1300
0.2400	0.1300
0.0000	0.1400
0.0100	0.1400
0.0200	0.1400
0.0300	0.1400
0.0400	0.1400
0.0500	0.1400
0.0600	0.1400
0.0700	0.1400
0.0800	0.1400
0.0900	0.1400
0.1000	0.1400
0.1100	0.1400
0.1200	0.1400
0.1300	0.1400
0.1400	0.1400
0.1500	0.1400
0.1600	0.1400
0.1700	0.1400
0.1800	0.1400
0.1900	0.1400
0.2000	0.1400
0.2100	0.1400
0.2200	0.1400
0.2300	0.1400
0.2400	0.1400
0.0000	0.1500
0.0100	0.1500
0.0200	0.1500
0.0300	0.1500
0.0400	0.1500
